Descrição dos resultados obtidos,,,,,,,,,,,,
*IPE: Índice de Permanência Estrutural (%),,,,,,,,,,,,
Produto de classificação (SEM USO DE MÁSCARA),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. Original] / EG[Pontual]),,Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,
Classificação Pontual,,0.82,,,0.79,0.82,1,0.77,0.88,0.65,0.82,
Classificação Contextual - MF 3X3,3,0.84,2.23,,0.81,0.96,1,0.55,0.94,0.7,0.91,
,,,,,,,,,,,,
Produto de classificação (COM USO DA MPAD),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. MPAD] / EG[Pontual]),IPE* (EG[C. MPAD] / EG[C. Original]),Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,Fator C
Mapa_classificação_contextual3X3_MPAD_1DP.tif,3,0.84,1.74,-0.49,0.81,0.85,1,0.77,0.9,0.69,0.83,1
Mapa_classificação_contextual3X3_MPAD_2DP.tif,3,0.84,2.48,0.24,0.81,0.87,1,0.77,0.9,0.69,0.85,2
Mapa_classificação_contextual3X3_MPAD_3DP.tif,3,0.85,2.98,0.73,0.82,0.87,1,0.75,0.9,0.69,0.88,3
Mapa_classificação_contextual3X3_MPAD_4DP.tif,3,0.85,3.47,1.21,0.82,0.89,1,0.74,0.91,0.69,0.88,4
Mapa_classificação_contextual3X3_MPAD_5DP.tif,3,0.86,4.09,1.82,0.83,0.9,1,0.74,0.91,0.71,0.89,5
Mapa_classificação_contextual3X3_MPAD_6DP.tif,3,0.86,4.09,1.82,0.83,0.9,1,0.73,0.92,0.71,0.89,6
Mapa_classificação_contextual3X3_MPAD_7DP.tif,3,0.86,3.97,1.7,0.83,0.91,1,0.71,0.93,0.7,0.9,7
Mapa_classificação_contextual3X3_MPAD_8DP.tif,3,0.86,3.85,1.58,0.83,0.91,1,0.71,0.93,0.7,0.89,8
Mapa_classificação_contextual3X3_MPAD_9DP.tif,3,0.86,3.85,1.58,0.83,0.91,1,0.7,0.93,0.7,0.9,9
Mapa_classificação_contextual3X3_MPAD_10DP.tif,3,0.86,4.34,2.06,0.83,0.92,1,0.7,0.93,0.7,0.91,10
Mapa_classificação_contextual3X3_MPAD_11DP.tif,3,0.86,4.34,2.06,0.83,0.93,1,0.69,0.94,0.7,0.9,11
Mapa_classificação_contextual3X3_MPAD_12DP.tif,3,0.86,4.34,2.06,0.83,0.93,1,0.69,0.94,0.7,0.9,12
Mapa_classificação_contextual3X3_MPAD_13DP.tif,3,0.86,4.22,1.94,0.83,0.94,1,0.67,0.94,0.7,0.9,13
Mapa_classificação_contextual3X3_MPAD_14DP.tif,3,0.86,4.34,2.06,0.83,0.94,1,0.67,0.94,0.7,0.9,14
Mapa_classificação_contextual3X3_MPAD_15DP.tif,3,0.86,4.22,1.94,0.83,0.94,1,0.67,0.94,0.7,0.9,15
Mapa_classificação_contextual3X3_MPAD_16DP.tif,3,0.86,4.09,1.82,0.83,0.94,1,0.66,0.94,0.7,0.9,16
Mapa_classificação_contextual3X3_MPAD_17DP.tif,3,0.86,3.97,1.7,0.83,0.94,1,0.65,0.94,0.7,0.9,17
Mapa_classificação_contextual3X3_MPAD_18DP.tif,3,0.85,3.6,1.34,0.82,0.94,1,0.63,0.94,0.7,0.9,18
Mapa_classificação_contextual3X3_MPAD_19DP.tif,3,0.85,3.6,1.34,0.82,0.94,1,0.63,0.94,0.7,0.9,19
Mapa_classificação_contextual3X3_MPAD_20DP.tif,3,0.85,3.35,1.09,0.82,0.95,1,0.61,0.94,0.7,0.9,20
Mapa_classificação_contextual3X3_MPAD_21DP.tif,3,0.85,3.35,1.09,0.82,0.95,1,0.61,0.94,0.7,0.91,21
Mapa_classificação_contextual3X3_MPAD_22DP.tif,3,0.85,3.23,0.97,0.82,0.95,1,0.6,0.94,0.7,0.91,22
Mapa_classificação_contextual3X3_MPAD_23DP.tif,3,0.85,3.23,0.97,0.82,0.95,1,0.6,0.94,0.7,0.91,23
Mapa_classificação_contextual3X3_MPAD_24DP.tif,3,0.85,3.23,0.97,0.82,0.95,1,0.6,0.94,0.7,0.91,24
Mapa_classificação_contextual3X3_MPAD_25DP.tif,3,0.85,3.1,0.85,0.82,0.95,1,0.6,0.94,0.7,0.91,25
Mapa_classificação_contextual3X3_MPAD_26DP.tif,3,0.85,2.98,0.73,0.82,0.95,1,0.59,0.94,0.7,0.91,26
