"Classificação Inicial - MLC",,,,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","133","0","0","19","0","15",,"167","0.796407185628742","0.203592814371258"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","126","0","0","0",,"126","1","0"
"Forest","22","0","0","144","0","0",,"166","0.867469879518072","0.132530120481928"
"Clean Pasture","0","0","36","0","106","14",,"156","0.67948717948718","0.32051282051282"
"Dirty Pasture","7","0","1","0","57","134",,"199","0.673366834170854","0.326633165829146"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.815950920245399","1","0.773006134969325","0.883435582822086","0.650306748466258","0.822085889570552",,,,
"Erro Omissão (Exclusão)","0.184049079754601","0","0.226993865030675","0.116564417177914","0.349693251533742","0.177914110429448",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.824130879345603",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.788957055214724",,,,,,,,,
